COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_FULLY_VACCINATED,PERSONS_FULLY_VACCINATED_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,PERSONS_BOOSTER_ADD_DOSE,PERSONS_BOOSTER_ADD_DOSE_PER100,lat,lng
Falkland Islands (Malvinas),FLK,AMRO,REPORTING,6/21/2022,9390,3220,269.595,92.449,2976,85.444,AstraZeneca - AZD1222,,1,2543,73.012,-51.7963,-59.5236
Faroe Islands,FRO,EURO,OWID,2/18/2022,103894,41715,212.614,85.368,40895,83.69,"Moderna - mRNA-1273, Pfizer BioNTech - Comirnaty",,2,21284,43.557,61.892635,-6.911806
Fiji,FJI,WPRO,REPORTING,2/24/2023,1553053,711826,173.246,79.405,640894,71.493,"AstraZeneca - Vaxzevria,Moderna - Spikevax,SII - Covishield",3/7/2021,3,171060,19.082,-16.578193,179.414413
Finland,FIN,EURO,REPORTING,2/5/2023,13233644,4546427,239.5,82.284,4363729,78.977,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Unknown Vaccine",12/23/2020,5,3084268,55.821,61.92411,25.748151
France,FRA,EURO,REPORTING,2/5/2023,157737439,54650869,234.3,81.18,53154487,78.958,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Unknown Vaccine",12/30/2020,6,40984221,60.88,46.227638,2.213749
French Guiana,GUF,AMRO,REPORTING,2/10/2023,240930,99898,80.664,33.446,90181,30.193,"Moderna - Spikevax,Pfizer BioNTech - Comirnaty",1/13/2021,2,46100,15.434,3.933889,-53.125782
French Polynesia,PYF,WPRO,REPORTING,12/31/2022,450069,191936,160.219,68.327,163896,58.345,"Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty",1/18/2021,2,81177,28.898,-17.679742,-149.406843
Gabon,GAB,AFRO,REPORTING,2/5/2023,572672,311244,25.73,13.984,257471,11.568,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty",3/23/2021,3,2592,0.116,-0.803689,11.609444
Gambia,GMB,AFRO,REPORTING,2/26/2023,1444492,934799,59.772,38.681,455919,18.866,"Beijing CNBG - BBIBP-CorV,SII - Covishield",3/10/2021,2,31719,1.313,13.443182,-15.310139
Georgia,GEO,EURO,REPORTING,1/15/2023,2731970,1297872,68.5,32.535,1184079,29.682,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",3/17/2021,4,250019,6.267,42.315407,43.356892
